id_produto;composto;porcao;valorDiario
1;betacaroteno (pró vitamina A);5000 UI;167
1;ácido ascórbico (Vitamina C);60mg;267
1;acetato de racealfatocoferol (vitamina E);30 UI;402
1;cobre (óxido cúprico);0.5mg;111
1;selênio (selênio complexo 1%);40 mcg;235
1;zinco (óxido de zinco);15 mg;429
2;Valor Energético;18 kcal=76 kJ;1
2;Gorduras Saturadas;2g;4
2;Gorduras trans;2g;4
2;Gorduras Monoinsaturadas;0.2g;4
2;Gorduras Polinsaturadas;1.7g;**
2;EPA;400mg;**
2;DHA;1000mg;**
2;Colesterol;0mg;0
3;Proteína;4.4g/ colher medida;0
3;Carboidrato;0g;0
3;Lipídio;0.05;0
4;Valor energético;11kcal=44kj;1
4;Gorduras totais;1g;3
4;Gorduras saturadas;0.8g;3
4;Vitamina C;1000mg;2222
